,age,job,marital,education,default,housing,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,72.0,0,0,0,0,0,0,0,1,999,0,0,-1.8,93.075,-47.1,1.453,5099.1,0
1,30.0,1,1,1,0,1,1,1,1,999,0,0,-1.7,94.027,-38.3,0.8859999999999999,4991.6,0
2,31.0,2,0,1,0,1,1,1,4,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0
3,37.0,1,0,2,0,1,1,2,1,999,0,0,-3.4,92.649,-30.1,0.722,5017.5,0
4,53.0,2,2,3,1,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
5,28.0,1,1,1,0,1,1,3,4,999,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
6,37.0,3,0,2,0,1,1,2,2,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
7,43.0,1,2,2,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
8,37.0,4,0,3,0,1,0,3,4,999,0,0,1.1,93.994,-36.4,4.86,5191.0,0
9,28.0,4,0,3,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0
10,29.0,1,0,4,0,2,0,5,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
11,36.0,3,1,5,1,1,0,3,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
12,44.0,5,1,1,1,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1
13,43.0,1,0,1,0,1,1,1,8,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
14,39.0,1,1,2,0,1,0,4,3,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
15,57.0,5,0,1,0,0,0,5,1,999,0,0,1.4,94.465,-41.8,4.959,5228.1,0
16,48.0,6,0,2,0,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
17,51.0,4,2,0,0,0,1,0,5,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
18,29.0,7,0,6,0,0,0,3,1,999,0,0,1.1,93.994,-36.4,4.864,5191.0,0
19,49.0,4,0,0,1,0,0,5,2,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
20,46.0,4,0,0,0,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.855,5191.0,0
21,37.0,5,1,2,0,0,0,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
22,27.0,1,0,2,0,0,1,2,7,999,0,0,-3.4,92.649,-30.1,0.7140000000000001,5017.5,0
23,35.0,8,1,1,1,0,0,3,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,24.0,1,1,1,0,1,1,2,1,9,3,1,-3.4,92.649,-30.1,0.716,5017.5,0
25,31.0,4,0,3,0,0,0,3,4,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
26,49.0,4,0,2,1,1,1,1,1,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
27,25.0,8,1,6,0,1,1,3,2,999,0,0,-1.8,92.893,-46.2,1.27,5099.1,0
28,55.0,4,0,0,0,1,1,1,4,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
29,25.0,7,1,6,0,1,1,3,4,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
30,46.0,4,0,0,0,1,1,1,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1
31,34.0,4,1,0,1,1,0,5,1,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0
32,24.0,8,1,2,0,0,1,1,1,999,0,0,-2.9,92.201,-31.4,0.8490000000000001,5076.2,1
33,32.0,1,0,2,0,1,1,5,1,10,1,2,-2.9,92.963,-40.8,1.26,5076.2,0
34,58.0,9,0,1,0,1,0,4,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
35,31.0,7,0,1,1,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
36,55.0,1,0,1,0,1,1,0,3,999,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
37,31.0,4,0,3,0,1,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
38,25.0,4,0,3,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
39,30.0,4,1,3,1,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,50.0,1,0,2,0,0,0,5,3,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
41,25.0,2,1,2,0,0,1,1,1,3,3,2,-1.7,94.027,-38.3,0.904,4991.6,0
42,54.0,0,0,2,1,0,0,3,10,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0
43,47.0,1,0,2,1,0,1,1,8,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
44,51.0,4,0,3,1,0,0,3,3,999,0,0,1.1,93.994,-36.4,4.859,5191.0,0
45,54.0,4,0,3,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
46,35.0,1,1,1,0,1,0,3,3,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
47,49.0,5,0,1,0,1,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
48,55.0,5,2,1,0,1,0,3,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,31.0,7,1,3,0,1,0,3,5,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
50,33.0,1,1,1,0,1,1,6,1,999,0,0,-1.1,94.199,-37.5,0.879,4963.6,0
51,35.0,7,0,6,0,1,0,3,3,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,50.0,10,0,4,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0
53,53.0,7,0,6,1,1,1,3,1,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
54,37.0,7,0,1,0,1,0,3,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0
55,35.0,1,0,6,0,1,1,4,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0
56,30.0,1,1,1,0,0,1,1,2,999,0,0,1.4,93.444,-36.1,4.963,5228.1,0
57,44.0,1,2,1,0,1,1,1,11,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0
58,20.0,8,1,2,0,0,1,1,2,999,0,0,-2.9,92.201,-31.4,0.873,5076.2,0
59,47.0,0,1,5,1,0,1,4,5,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0
60,56.0,7,0,0,0,1,0,3,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
61,46.0,1,0,2,0,0,1,1,17,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
62,44.0,4,0,0,1,1,0,5,4,999,0,0,1.4,94.465,-41.8,4.947,5228.1,0
63,55.0,1,0,1,0,0,1,2,3,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0
64,28.0,3,1,2,0,1,0,6,1,999,0,0,-1.1,94.199,-37.5,0.878,4963.6,0
